portfolio_id,portfolio_name,base_currency,inception_date
1,Post Retirement Stability,INR,2025-01-02
2,Prudent Balanced Advantage,INR,2025-02-03
3,Breakout Opportunities,INR,2025-02-05
4,Steady Growth Balanced,INR,2025-02-06
5,Dividend Aristocrats India,INR,2025-02-10
6,Pension Growth Mandate,INR,2025-02-18
7,Multi Asset Allocator,INR,2025-02-24
8,Bluechip Alpha Growth,INR,2025-03-04
9,Value Opportunities Fund,INR,2025-03-11
10,Sunset Years Income,INR,2025-03-25
11,Income Compounder,INR,2025-04-03
12,Core Equity Foundation,INR,2025-04-07
13,Capital Preservation Debt,INR,2025-04-14
14,High Yield Equity Income,INR,2025-05-08
15,Nifty Leaders Large Cap,INR,2025-06-02
16,Retirement Income Plus,INR,2025-06-10
17,Momentum Growth Strategy,INR,2025-06-17
18,Global Indian Multi Asset,INR,2025-06-26
19,Short Duration Income,INR,2025-07-01
20,Institutional Large Cap,INR,2025-07-09
21,Accrual Income Strategy,INR,2025-07-11
22,Smart Beta ETF Blend,INR,2025-07-21
23,Golden Years Portfolio,INR,2025-08-04
24,Tactical Momentum Edge,INR,2025-08-06
25,Conservative Debt Plus,INR,2025-08-11
26,Deep Value Contra,INR,2025-08-12
27,Long Term Wealth Value,INR,2025-09-02
28,High Conviction Equity,INR,2025-09-18
29,Fixed Income Advantage,INR,2025-11-10
30,Margin Of Safety Equity,INR,2025-11-11
31,Consistent Payout Equity,INR,2025-11-26
32,Wealth Harmony Fund,INR,2025-11-27
33,All Weather Portfolio,INR,2025-12-09
34,Index ETF Advantage,INR,2025-12-12
35,Blue Chip Stability,INR,2025-12-23
36,Strategic Asset Mix,INR,2025-12-24
37,Balanced Core Strategy,INR,2026-01-02
38,ETF Wealth Accumulator,INR,2026-02-10
39,Aggressive Equity Alpha,INR,2026-02-16
40,Passive Core ETF,INR,2026-03-10
41,Diversified Wealth Compass,INR,2026-03-25
42,Dividend Builder,INR,2026-04-10
43,Emerging Leaders Growth,INR,2026-04-14
44,Special Situations Value,INR,2026-04-23
45,Small Cap Discovery,INR,2026-05-11
46,Balanced Wealth Builder,INR,2026-05-29
47,Premier Equity Core,INR,2026-06-01
48,Trend Following Equity,INR,2026-06-24
49,Active Rotation Equity,INR,2026-06-25
50,Low Cost Index Tracker,INR,2026-06-26
